"sensorId","obsCount","outlierCount","rate","shape","ppv","sensitivity","f1","AIC","BIC","lglk"
775,18270,10,110.263101923427,16.8355576264723,0.125,0.6,0.206896551724138,-67832.9833513333,-67817.3573200345,33918.4916756666
777,37262,10,74.8737030682672,12.4504291087949,0,0,NA,Inf,Inf,-Inf
779,161953,56,115.024757579152,14.1200609435906,0.141379310344828,0.732142857142857,0.236994219653179,-647040.005018345,-647020.014895448,323522.002509173
780,166200,42,49.5745289751947,4.38448276376577,0.013166144200627,1,0.025990099009901,Inf,Inf,-Inf
787,173562,43,30.5989798273886,3.82498440874182,0.0296756383712905,1,0.0576407506702413,Inf,Inf,-Inf
791,126131,56,112.442878118551,11.2652549483982,0.0740740740740741,0.642857142857143,0.132841328413284,Inf,Inf,-Inf
793,23649,9,90.7340195173263,11.6356253980697,0.107142857142857,0.666666666666667,0.184615384615385,Inf,Inf,-Inf
796,251458,99,104.949737173758,12.3552614028153,0.166666666666667,0.646464646464647,0.265010351966874,Inf,Inf,-Inf
798,224434,79,116.867822997143,13.0365326956675,0.125412541254125,0.481012658227848,0.198952879581152,Inf,Inf,-Inf
799,326359,160,113.695816870871,16.805773904472,0.139297848244621,0.76875,0.235858101629914,Inf,Inf,-Inf
802,10349,6,115.371688060056,10.7983983543903,0.181818181818182,0.666666666666667,0.285714285714286,Inf,Inf,-Inf
803,10820,6,85.46438854431,11.3262190323419,0.0714285714285714,0.833333333333333,0.131578947368421,Inf,Inf,-Inf
805,33722,18,90.8456364397426,13.5355231010146,0.18,1,0.305084745762712,Inf,Inf,-Inf
807,420236,106,60.7732183962554,7.6523835816267,0.0215359609914669,1,0.0421638822593477,Inf,Inf,-Inf
808,78748,38,113.897784336222,9.76209336643366,0.0809859154929577,0.605263157894737,0.142857142857143,Inf,Inf,-Inf
810,63506,32,114.67011896668,14.2955001674342,0.208333333333333,0.625,0.3125,Inf,Inf,-Inf
813,73372,13,0.0181155030499023,0.00628177636282279,NA,0,NA,-Inf,-Inf,Inf
